Date,Time,Day_of_Week,Barangay,Latitude,Longitude,Weather,Property_Type,Fire_Cause,Fire_Severity,Casualty_Count,Response_Time,Fire_Duration
18/11/2021,18:10,Thursday,San Juan (Putol),14.07636549,121.3109818,Sunny,Residential,Natural,Medium,7,6,55
23/02/2023,19:54,Thursday,IV-A,14.06802402,121.3202713,Rainy,Residential,Cooking,High,7,12,15
01/09/2021,1:12,Wednesday,San Crispin (Lumbangan),14.07249914,121.3160208,Sunny,Residential,Electrical,Medium,2,11,41
16/08/2022,2:10,Tuesday,VI-B,14.07229846,121.3308636,Stormy,Residential,Other,Medium,1,14,170
10/12/2024,15:42,Tuesday,San Gabriel (Butucan),14.06366884,121.3208997,Cloudy,Residential,Cooking,High,11,9,64
01/03/2023,15:00,Wednesday,Atisan,14.06997913,121.3184932,Rainy,Industrial,Arson,Low,1,9,10
03/12/2020,11:32,Thursday,San Lucas 2 (Malinaw),14.07127242,121.3144078,Sunny,Forest,Natural,Low,0,9,24
02/10/2021,16:59,Saturday,San Lorenzo (Saluyan),14.06327865,121.3181358,Cloudy,Commercial,Electrical,Low,0,8,19
31/10/2024,3:29,Thursday,VI-D (Lparkers),14.07017569,121.3224839,Cloudy,Residential,Electrical,Medium,4,6,145
23/04/2024,22:36,Tuesday,VII-E,14.07014476,121.3207001,Rainy,Industrial,Cooking,Low,2,14,27
14/09/2020,12:10,Monday,Santa Cruz (Putol),14.05629196,121.315297,Sunny,Forest,Natural,High,0,10,133
08/09/2024,20:10,Sunday,VI-C (Bagong Pook),14.06696883,121.3280433,Cloudy,Residential,Electrical,High,11,8,43
05/11/2023,22:32,Sunday,Santiago 1 (Bulaho),14.07165045,121.3164528,Stormy,Residential,Natural,Medium,4,5,208
13/05/2024,8:07,Monday,San Marcos (Tikew),14.06531378,121.3143867,Sunny,Commercial,Arson,Low,0,9,38
28/04/2023,18:54,Friday,III-F (Balagtas),14.06943995,121.3200477,Sunny,Residential,Arson,Medium,3,14,124
03/02/2024,18:11,Saturday,Santisimo Rosario (Balagbag),14.06322493,121.3242623,Cloudy,Residential,Natural,Medium,0,17,120
19/08/2024,21:35,Monday,IV-A,14.075869,121.3224559,Sunny,Industrial,Natural,Low,0,13,10
30/12/2021,1:20,Thursday,San Cristobal,14.06402936,121.3155632,Sunny,Residential,Other,Low,2,7,10
31/08/2021,4:15,Tuesday,V-D,14.0779961,121.3277244,Sunny,Residential,Cooking,Low,0,6,21
15/01/2021,22:01,Friday,San Miguel (Balintin),14.07515815,121.3190746,Sunny,Commercial,Electrical,Low,0,5,11
28/09/2024,1:19,Saturday,San Lorenzo (Saluyan),14.07139663,121.3228128,Sunny,Commercial,Natural,High,9,6,65
17/09/2023,10:36,Sunday,Dolores,14.07519854,121.3311666,Sunny,Residential,Arson,Low,2,10,42
14/08/2020,14:51,Friday,San Lucas 1 (Sabang),14.07108204,121.3153238,Rainy,Residential,Arson,Medium,2,12,57
05/01/2023,16:25,Thursday,II-A (Triangulo Guadalupe 2),14.07087809,121.3295277,Sunny,Residential,Natural,Medium,3,10,114
16/02/2024,8:04,Friday,Santisimo Rosario (Balagbag),14.0706568,121.3241892,Cloudy,Commercial,Other,Low,1,10,13
01/11/2022,17:43,Tuesday,III-E,14.07642858,121.3215668,Sunny,Commercial,Arson,Low,0,12,103
11/09/2020,19:44,Friday,San Diego (Tilim),14.06923846,121.3211653,Cloudy,Residential,Cooking,Medium,3,13,31
27/04/2020,1:28,Monday,San Cristobal,14.07258859,121.3158949,Sunny,Residential,Arson,Low,0,9,10
24/06/2021,18:53,Thursday,IV-A,14.06906653,121.3137746,Cloudy,Residential,Electrical,High,7,15,16
03/10/2023,12:06,Tuesday,Santa Filomena (Banagin),14.07118263,121.320674,Cloudy,Commercial,Natural,Low,0,12,10
10/11/2022,19:13,Thursday,III-B,14.07255958,121.3200282,Sunny,Forest,Arson,Medium,0,14,19
08/08/2021,20:48,Sunday,San Ignacio,14.06882109,121.3114063,Cloudy,Residential,Other,Medium,0,8,14
14/03/2022,7:10,Monday,V-B,14.06716838,121.3245597,Cloudy,Residential,Arson,Low,1,5,10
11/01/2021,17:28,Monday,San Bartolome (Matang-ag),14.06819408,121.3151536,Sunny,Residential,Cooking,Low,0,7,63
05/05/2024,22:59,Sunday,San Jose (Malamig),14.0757228,121.3136965,Cloudy,Industrial,Electrical,Medium,1,14,109
29/03/2020,5:04,Sunday,Santa Ana,14.06547366,121.3254428,Cloudy,Residential,Cooking,Medium,2,5,10
16/10/2022,22:20,Sunday,Santa Ana,14.07931144,121.3277878,Stormy,Commercial,Natural,Medium,2,9,47
26/01/2022,8:44,Wednesday,San Lucas 2 (Malinaw),14.06934898,121.3257527,Rainy,Residential,Electrical,Low,0,7,10
29/05/2022,7:06,Sunday,San Diego (Tilim),14.07618532,121.3271039,Sunny,Industrial,Natural,Medium,1,7,46
20/05/2023,19:59,Saturday,VI-D (Lparkers),14.07430654,121.3367456,Sunny,Commercial,Electrical,Medium,1,5,10
23/04/2020,13:33,Thursday,Santa Maria,14.06878899,121.3148776,Sunny,Residential,Arson,Low,1,6,47
12/12/2021,22:06,Sunday,VII-C,14.06434474,121.3213837,Sunny,Residential,Electrical,Medium,3,8,65
08/11/2022,23:15,Tuesday,San Gabriel (Butucan),14.07352827,121.324694,Rainy,Forest,Natural,Low,0,9,68
30/05/2021,20:32,Sunday,Santiago 1 (Bulaho),14.07563067,121.317632,Cloudy,Residential,Cooking,Low,0,12,65
11/07/2024,6:57,Thursday,VI-C (Bagong Pook),14.06257057,121.3215859,Sunny,Residential,Electrical,High,11,9,10
16/01/2021,19:26,Saturday,II-F (Villa Rey),14.06288002,121.3223505,Cloudy,Residential,Electrical,Low,0,6,24
27/06/2023,2:03,Tuesday,VI-D (Lparkers),14.06957498,121.3197678,Cloudy,Forest,Natural,Low,0,11,82
03/05/2021,5:39,Monday,Bautista,14.0798906,121.318733,Cloudy,Residential,Cooking,Medium,2,10,91
07/06/2024,7:43,Friday,III-E,14.06962933,121.3142331,Sunny,Residential,Arson,Low,1,7,10
22/07/2021,18:46,Thursday,Dolores,14.07655607,121.3173249,Rainy,Residential,Cooking,High,7,7,122
10/10/2024,9:21,Thursday,San Joaquin,14.0679735,121.3267537,Sunny,Industrial,Cooking,Medium,2,11,52
03/08/2024,20:30,Saturday,III-B,14.07121674,121.3229091,Rainy,Residential,Electrical,Medium,2,8,37
23/12/2020,12:18,Wednesday,San Isidro (Balagbag),14.08152926,121.3120054,Cloudy,Forest,Other,Low,1,10,59
06/01/2020,18:20,Monday,San Cristobal,14.0751898,121.3271061,Sunny,Residential,Cooking,Low,0,5,15
