Date,Time,Day_of_Week,Barangay,Latitude,Longitude,Weather,Road_Condition,Vehicle_Type,Driver_Age,Driver_Gender,Accident_Type,Injuries,Fatalities
04/08/2021,21:15,Wednesday,I-C (Bagong Bayan),14.07121485,121.3221979,Sunny,Dry,Motorcycle,44,Male,Head-on collision,4,0
20/08/2021,7:15,Friday,Santa Veronica (Bae),14.08045322,121.3306923,Sunny,Dry,Bicycle,38,Male,Rear-end collision,1,1
05/09/2023,3:32,Tuesday,I-A (Sambat),14.08071176,121.3013543,Rainy,Wet,Car,29,Female,Side-impact collision,2,0
14/12/2021,15:08,Tuesday,VI-A (Mavenida),14.0475675,121.2986685,Rainy,Wet,Motorcycle,50,Male,Side-impact collision,5,0
05/02/2020,13:01,Wednesday,San Lucas 2 (Malinaw),14.08001524,121.3298993,Rainy,Wet,Motorcycle,27,Male,Head-on collision,2,0
12/04/2024,2:10,Friday,San Rafael (Buluburan),14.06138158,121.323748,Rainy,Wet,Bus,38,Female,Rear-end collision,0,0
14/03/2023,3:57,Tuesday,San Gregorio,14.0504312,121.3000372,Sunny,Dry,Motorcycle,35,Male,Rear-end collision,0,1
24/11/2024,10:59,Sunday,San Lucas 1 (Sabang),14.05863687,121.3097178,Sunny,Dry,Car,36,Male,Rear-end collision,1,0
28/11/2020,0:52,Saturday,IV-B,14.08957321,121.3405354,Sunny,Dry,Bicycle,22,Female,Side-impact collision,2,0
03/11/2020,18:26,Tuesday,Del Remedio (Wawa),14.05974287,121.3361763,Rainy,Wet,Bus,25,Male,Head-on collision,2,1
01/04/2021,14:04,Thursday,Santisimo Rosario (Balagbag),14.05736436,121.3085276,Rainy,Wet,Motorcycle,29,Male,Head-on collision,4,0
13/12/2024,19:41,Friday,San Lucas 1 (Sabang),14.08387379,121.3375458,Sunny,Dry,Motorcycle,39,Male,Rear-end collision,2,0
15/07/2024,7:22,Monday,Bautista,14.09249315,121.3235881,Rainy,Wet,Tricycle,38,Female,Head-on collision,3,1
17/11/2022,9:29,Thursday,III-E,14.06473522,121.3087217,Sunny,Dry,Car,26,Male,Rear-end collision,1,0
23/09/2021,4:29,Thursday,San Pedro,14.09246246,121.3408045,Sunny,Dry,Truck,43,Male,Head-on collision,2,0
29/05/2023,18:29,Monday,IV-A,14.08036629,121.3310906,Sunny,Dry,Tricycle,52,Male,Rear-end collision,0,0
21/11/2024,6:17,Thursday,San Nicolas (Mag-ampong),14.08039291,121.3289528,Rainy,Wet,Car,32,Male,Single vehicle accident,1,0
30/03/2021,7:40,Tuesday,San Pedro,14.08091541,121.3289171,Sunny,Gravel,Car,28,Male,Rear-end collision,1,0
07/12/2023,3:31,Thursday,San Miguel (Balintin),14.08955921,121.3408073,Cloudy,Dry,Motorcycle,36,Male,Head-on collision,4,1
